frame,decision,sim_step,frame_ms
1,0.069202,0.002366,0.07377
2,0.02321,0.001089,0.025114
3,0.018956,0.000609,0.019948
4,0.01826,0.000485,0.01902
5,0.017396,0.000452,0.018061
6,0.017482,0.00045,0.018124
7,0.017522,0.000449,0.018171
8,0.017225,0.00045,0.017877
9,0.017307,0.000454,0.017952
10,0.017494,0.00045,0.01815
11,0.017251,0.00045,0.017901
12,0.017373,0.000451,0.018015
13,0.017367,0.000465,0.018032
14,0.017199,0.000464,0.017865
15,0.017138,0.000452,0.017784
16,0.017089,0.000456,0.017752
17,0.019689,0.000639,0.020579
18,0.019079,0.000489,0.019851
19,0.01722,0.000447,0.017868
20,0.017195,0.000456,0.01785
21,0.01699,0.000483,0.017664
22,0.017151,0.00045,0.017803
23,0.017261,0.000476,0.017937
24,0.017269,0.000447,0.017905
25,0.017187,0.000449,0.017835
26,0.017138,0.00045,0.017787
27,0.017223,0.000449,0.017863
28,0.017176,0.00045,0.017826
29,0.017198,0.000455,0.017853
30,0.017091,0.00045,0.017731
31,0.017038,0.000449,0.017687
32,0.017156,0.000451,0.017809
33,0.017304,0.000453,0.017947
34,0.020566,0.00054,0.021323
35,0.01721,0.00046,0.017892
36,0.017264,0.000449,0.017917
37,0.01718,0.000447,0.017829
38,0.017221,0.00045,0.01787
39,0.017215,0.000455,0.017869
40,0.017219,0.000458,0.017876
41,0.017254,0.00045,0.017902
42,0.021802,0.00045,0.022473
43,0.017244,0.000449,0.01791
44,0.017208,0.000448,0.017863
45,0.038579,0.000621,0.03974
46,0.017658,0.000448,0.018335
47,0.017315,0.000448,0.01797
48,0.017012,0.000457,0.017675
49,0.017138,0.000446,0.01779
50,0.017153,0.000454,0.017816
51,0.01727,0.000601,0.018094
52,0.01726,0.000491,0.018035
53,0.017192,0.000456,0.017854
54,0.017223,0.000447,0.017877
55,0.017267,0.000453,0.017927
56,0.017235,0.000447,0.017889
57,0.017167,0.000455,0.01783
58,0.017231,0.000454,0.017885
59,0.017279,0.000462,0.01794
60,0.017163,0.000455,0.017817
61,0.017303,0.000444,0.017967
62,0.017189,0.000448,0.017837
63,0.017051,0.000442,0.017694
64,0.017137,0.000444,0.017801
65,0.017229,0.000443,0.017873
66,0.017266,0.000443,0.01791
67,0.017472,0.000451,0.018128
68,0.017651,0.000521,0.01839
69,0.01752,0.00046,0.018219
70,0.017226,0.000452,0.017878
71,0.017233,0.000443,0.017892
72,0.0201,0.00045,0.020762
73,0.017237,0.000455,0.017891
74,0.017344,0.000447,0.017987
75,0.017388,0.000447,0.018029
76,0.01718,0.000442,0.017818
77,0.017324,0.000455,0.017977
78,0.017211,0.000451,0.017858
79,0.017173,0.000458,0.01783
80,0.017209,0.000446,0.017853
81,0.017215,0.000442,0.017852
82,0.01728,0.000443,0.017922
83,0.017244,0.000455,0.017895
84,0.01714,0.000446,0.017785
85,0.017141,0.00049,0.01783
86,0.017197,0.000463,0.017891
87,0.017166,0.000444,0.017809
88,0.017358,0.000443,0.018
89,0.017221,0.000454,0.017876
90,0.017174,0.000456,0.017826
91,0.017155,0.000439,0.017793
92,0.020337,0.000451,0.020985
93,0.017213,0.000448,0.017859
94,0.017209,0.000452,0.017858
95,0.049992,0.000962,0.05158
96,0.030463,0.000795,0.031702
97,0.025972,0.000509,0.026751
98,0.01726,0.000463,0.017923
99,0.04871,0.000643,0.049875
100,0.018188,0.000446,0.018859
101,0.017177,0.000642,0.018071
102,0.017633,0.000488,0.018372
103,0.017272,0.000455,0.017936
104,0.017171,0.000449,0.017819
105,0.017192,0.000447,0.017838
106,0.01717,0.000441,0.017812
107,0.017265,0.000445,0.017912
108,0.017119,0.000454,0.017772
109,0.017212,0.000453,0.017865
110,0.017212,0.000452,0.017864
111,0.017167,0.000454,0.01782
112,0.017139,0.000453,0.018031
113,0.018202,0.000443,0.01888
114,0.017238,0.000448,0.017911
115,0.017201,0.000453,0.017853
116,0.01715,0.000453,0.017803
117,0.017196,0.000513,0.017913
118,0.017114,0.000462,0.017811
119,0.017124,0.00047,0.017794
120,0.01712,0.000454,0.017778
121,0.017831,0.000508,0.018563
122,0.017302,0.000445,0.017948
123,0.017217,0.000446,0.017861
124,0.01722,0.000451,0.017872
125,0.017485,0.000452,0.018138
126,0.017271,0.000455,0.017926
127,0.017101,0.000441,0.017742
128,0.017248,0.000453,0.017902
129,0.017232,0.000458,0.017889
130,0.017315,0.000442,0.017959
131,0.017706,0.000463,0.018366
132,0.017323,0.000452,0.017974
133,0.017201,0.000503,0.017909
134,0.017133,0.000467,0.017867
135,0.017117,0.00045,0.017792
136,0.017146,0.000451,0.017797
137,0.017228,0.000472,0.0179
138,0.021223,0.000442,0.021865
139,0.017293,0.000446,0.017935
140,0.01727,0.000452,0.017923
141,0.050863,0.000946,0.05245
142,0.029503,0.000828,0.030759
143,0.024335,0.000484,0.025049
144,0.027092,0.000863,0.028352
145,0.035556,0.000901,0.036738
146,0.03672,0.001333,0.03855
147,0.019456,0.000526,0.020397
148,0.018435,0.000478,0.01912
149,0.018334,0.000634,0.019204
150,0.032096,0.001026,0.033544
151,0.034885,0.000868,0.036157
152,0.035766,0.001003,0.037095
153,0.01837,0.000485,0.019063
154,0.020657,0.000482,0.021345
155,0.018193,0.000497,0.018887
156,0.018265,0.000493,0.018952
157,0.018207,0.000484,0.018892
158,0.018246,0.00049,0.018936
159,0.018293,0.000492,0.018989
160,0.018286,0.000488,0.018976
161,0.01827,0.000485,0.018955
162,0.018108,0.000489,0.018799
163,0.018233,0.000509,0.018945
164,0.018216,0.000482,0.018901
165,0.018456,0.000555,0.019217
166,0.018387,0.000503,0.019147
167,0.018346,0.000496,0.019045
168,0.018295,0.000484,0.018984
169,0.018549,0.000502,0.019253
170,0.018332,0.00048,0.019013
171,0.018737,0.000537,0.019477
172,0.032018,0.000863,0.033245
173,0.034589,0.000506,0.03535
174,0.018686,0.000502,0.019392
175,0.018609,0.000495,0.019304
176,0.018588,0.000486,0.019281
177,0.022627,0.00049,0.023323
178,0.0186,0.000485,0.019289
179,0.018354,0.000485,0.019044
180,0.055928,0.000985,0.057465
181,0.030542,0.000945,0.031937
182,0.036844,0.000907,0.038224
183,0.021284,0.000496,0.022036
184,0.018659,0.00049,0.019361
185,0.018904,0.000477,0.019597
186,0.018733,0.000478,0.019426
187,0.018973,0.000497,0.019688
188,0.01862,0.000502,0.019329
189,0.018687,0.00068,0.019559
190,0.018687,0.000484,0.019373
191,0.018768,0.000478,0.019439
192,0.018678,0.000477,0.019347
193,0.018645,0.000484,0.019319
194,0.018876,0.000484,0.019561
195,0.018666,0.000487,0.019343
196,0.020944,0.000509,0.02168
197,0.018707,0.00056,0.019472
198,0.018773,0.000485,0.019491
199,0.01873,0.000492,0.019424
200,0.018647,0.000477,0.019316
201,0.018905,0.000486,0.019596
202,0.018827,0.000561,0.01958
203,0.01864,0.000553,0.019395
204,0.018785,0.000526,0.019502
205,0.018535,0.000488,0.019224
206,0.018679,0.000486,0.01937
207,0.018579,0.000482,0.01925
208,0.018678,0.000475,0.019353
209,0.018783,0.000469,0.019441
210,0.01864,0.000472,0.019304
211,0.018754,0.000483,0.019429
212,0.018721,0.000479,0.0194
213,0.018895,0.000527,0.019648
214,0.018626,0.000489,0.019348
215,0.018725,0.000471,0.019402
216,0.01859,0.000474,0.019257
217,0.020449,0.000499,0.021155
218,0.020579,0.000581,0.021355
219,0.019463,0.000483,0.020139
220,0.022938,0.000486,0.023617
221,0.019275,0.000488,0.019965
222,0.019161,0.00048,0.019831
223,0.039851,0.00098,0.041478
224,0.035011,0.000593,0.035875
225,0.019423,0.000537,0.02017
226,0.01923,0.000496,0.019935
227,0.019042,0.000474,0.019722
228,0.019034,0.00048,0.019718
229,0.019153,0.000665,0.020023
230,0.019503,0.000586,0.020396
231,0.01976,0.000586,0.020569
232,0.019329,0.000509,0.020047
233,0.019352,0.000488,0.020057
234,0.019298,0.000526,0.020031
235,0.019352,0.000492,0.020054
236,0.019182,0.000479,0.019863
237,0.019463,0.000485,0.020154
238,0.019371,0.000492,0.020069
